age,male,pop
1,1,418189
2,1,361938
3,1,327171
4,1,289627
5,1,262704
6,1,235673
7,1,197816
8,1,160952
9,1,132311
10,1,110849
11,1,89027
12,1,70487
1,0,417311
2,0,361594
3,0,329333
4,0,296947
5,0,273204
6,0,249396
7,0,211839
8,0,176470
9,0,143351
10,0,123441
11,0,98355
12,0,82330
