age,male,mu
1,1,0.0126
2,1,0.001634663
3,1,0.001306146
4,1,0.001999998
5,1,0.003015447
6,1,0.003536735
7,1,0.004221072
8,1,0.005648005
9,1,0.008240903
10,1,0.01187507
11,1,0.018457082
12,1,0.026296637
1,0,0.0126
2,0,0.000900594
3,0,0.000623805
4,0,0.001198282
5,0,0.001746474
6,0,0.00228339
7,0,0.002763177
8,0,0.003621431
9,0,0.00489101
10,0,0.007030201
11,0,0.010333334
12,0,0.015372921
