1,0,333848,0,0,0,0,0,0,0
1,1,334551,0,0,0,0,0,0,0
2,0,289275,0,0,0,0,0,0,0
2,1,289550,0,0,0,0,0,0,0
3,0,263466,0,0,0,0,0,0,0
3,1,261736,0,0,0,0,0,0,0
4,0,237557,0,0,0,0,0,0,0
4,1,231701,0,0,0,0,0,0,0
5,0,218563,0,0,0,0,0,0,0
5,1,210163,0,0,0,0,0,0,0
6,0,199516,0,0,0,0,0,0,0
6,1,188538,0,0,0,0,0,0,0
7,0,169471,0,0,0,0,0,0,0
7,1,158252,0,0,0,0,0,0,0
8,0,141176,0,0,0,0,0,0,0
8,1,128761,0,0,0,0,0,0,0
9,0,113880,0,0,0,0,0,0,0
9,1,105848,0,0,0,0,0,0,0
10,0,98752,0,0,0,0,0,0,0
10,1,88679,0,0,0,0,0,0,0
11,0,78604,0,0,0,0,0,0,0
11,1,71221,0,0,0,0,0,0,0
12,0,65864,0,0,0,0,0,0,0
12,1,56389,0,0,0,0,0,0,0
